,status_group
35240,functional
16282,functional
57019,functional
30996,functional needs repair
21149,functional
10118,functional
35810,functional
36356,non functional
12215,functional
55619,functional
15609,functional
45549,functional
51379,non functional
4213,non functional
36753,functional needs repair
32531,functional
16247,functional
38083,functional
23545,functional
30126,non functional
17045,non functional
26875,functional
19989,non functional
18803,non functional
52440,non functional
12480,functional
22346,functional
18684,functional
16411,non functional
44300,non functional
32315,non functional
33392,functional
8320,non functional
16991,functional
43933,non functional
41611,functional
22347,functional
53980,functional
34194,non functional
32139,functional
21227,non functional
52341,non functional
5295,functional
16641,functional
2040,non functional
49013,functional needs repair
59056,non functional
50883,functional
53428,functional
4762,functional
38590,functional
13944,non functional
974,non functional
22353,functional
28039,functional
54063,functional
41588,functional
53271,functional
18311,functional
16723,non functional
54717,functional needs repair
19538,non functional
46694,functional
55259,functional
17090,functional
34493,functional
57329,non functional
47903,functional needs repair
12637,non functional
4971,non functional
46065,functional
10067,functional
23677,functional needs repair
18748,non functional
30789,functional
19967,non functional
25256,non functional
22395,functional
9476,functional
54614,functional
20662,non functional
32103,non functional
36094,functional needs repair
23690,functional
40921,non functional
54872,functional
53186,functional
10224,functional
2391,functional
20105,non functional
2550,functional
46966,functional needs repair
29631,non functional
49031,functional
34447,functional
13094,functional
47932,functional
17863,functional
14001,functional
21545,functional
12197,functional
39670,functional
19187,functional
33566,non functional
18740,non functional
4316,functional
8792,functional
13604,non functional
35766,non functional
34641,non functional
8332,non functional
7448,functional
44309,functional
40912,functional
448,functional
12538,functional
21466,functional
54600,functional
14618,non functional
2882,functional needs repair
55715,functional
1762,non functional
57350,functional
47674,functional
33315,functional
38326,non functional
18356,functional
35515,non functional
49906,non functional
19598,non functional
32174,non functional
31861,functional
37259,functional
34477,functional
35125,functional
40618,non functional
14890,functional
50474,functional
5264,non functional
42445,functional
15536,functional
42270,non functional
10801,functional
15814,functional
18149,functional
49292,non functional
51317,non functional
18518,functional
38333,functional
48054,functional
14870,non functional
20398,functional
53885,functional
29626,functional
28914,functional
39808,functional needs repair
13545,non functional
281,functional
19979,functional
56662,functional
20546,functional
41201,non functional
28695,functional
30297,functional
51325,functional
10916,functional
50003,non functional
29129,non functional
21681,functional
35479,non functional
50874,functional
11592,non functional
28605,functional
6799,functional
31842,functional
34621,non functional
43814,functional
32782,non functional
19087,non functional
36376,non functional
15175,non functional
5922,functional needs repair
45497,functional
35487,functional
4012,non functional
30455,functional
38072,functional
2200,non functional
3135,functional
34644,functional needs repair
43931,functional
32828,functional
4245,non functional
5210,non functional
55056,functional
5897,functional
54746,functional
8885,non functional
8597,non functional
50264,functional needs repair
15861,functional
38416,non functional
37638,non functional
11733,non functional
12527,functional
27040,functional
2224,functional
8730,functional
11905,non functional
6711,functional
29123,functional
41118,non functional
31960,functional
54815,non functional
37005,non functional
25735,non functional
50888,functional
2649,functional
21960,functional
24249,functional
27987,functional needs repair
18208,functional
5466,functional
49155,functional
22022,functional
24051,functional
18554,functional
54309,non functional
13807,non functional
37543,non functional
40387,functional
28218,non functional
46346,functional
18848,functional
38998,functional
33285,functional
805,functional
33769,non functional
24088,functional
35206,non functional
43879,non functional
2728,functional
32457,functional
24853,functional
40504,functional needs repair
51253,functional
31891,functional
34536,non functional
55508,non functional
55438,functional
38981,non functional
56043,functional
38999,non functional
513,functional
32829,functional
55532,non functional
19573,non functional
10368,functional
20357,non functional
29579,functional
1379,non functional
9596,functional needs repair
58183,functional
36913,functional
36096,non functional
25145,non functional
51556,non functional
40341,non functional
47612,non functional
55656,non functional
45755,functional
4618,functional
658,non functional
18617,non functional
19676,non functional
23304,functional
45915,functional
58095,functional
11067,non functional
1810,non functional
16800,functional
48753,non functional
29505,functional
37797,functional
33611,functional
43978,non functional
40441,functional
41810,non functional
3065,functional
778,non functional
59189,functional needs repair
1054,functional
55724,functional
2157,functional
39402,non functional
10865,functional
10660,non functional
13673,functional
54164,functional
24493,functional
1821,functional
13623,functional
2660,non functional
32001,functional needs repair
58549,non functional
30714,functional
13556,functional
42553,non functional
26203,non functional
8056,functional
44492,functional
13075,functional
29200,functional
14367,functional needs repair
28012,functional
54753,functional
25715,functional
56777,functional
51291,non functional
15113,functional
4807,functional
14420,non functional
16061,functional
58317,functional
46893,non functional
54909,functional
13968,functional
15954,functional
20752,non functional
50228,functional
39903,functional
24923,functional needs repair
55424,functional
2983,non functional
45635,non functional
54885,functional
57645,non functional
31731,non functional
13216,functional
46896,functional
51135,non functional
50305,functional
21811,functional
36587,functional
15013,functional
16009,non functional
39905,functional
36899,non functional
49559,non functional
5850,functional
32384,functional needs repair
48174,non functional
35687,non functional
7117,functional needs repair
10200,non functional
15483,functional
3659,non functional
13797,functional
35261,functional
43855,non functional
48308,functional
33781,functional
53549,functional
29743,functional
24431,non functional
42661,non functional
22633,functional
53045,functional
